code,airline,belongs
TG,泰国国际航空（Thai Airways）,泰国
TH,金鹏航空（Transmile Air Services）, 马来西亚
TH,British Airways CitiExpress 英国
TL,地中海航空公司（Trans Mediterranean Airways)(TMA） 
Airnorth Regional 澳大利亚
TK,土耳其航空（Turkish Airlines） 土耳其
TN,大溪地航空（Air Tahiti Nui） 法属波利尼西亚
TP,葡萄牙航空（TAP Air）,葡萄牙
TQ,Tandem Aero 
TR,老虎航空（Tiger Airways） 新加坡
TS,Air Transat 加拿大
TT,Air Lithuania 立陶宛
TU,突尼斯航空（Tunis Air）,突尼斯
TX,Air Caraibes,法国
TZ,联美航空（ATA） 美国（已歇业）
U2,easyJet 英国
UFS 美国
U5,USA 3000 Airlines 美国
U6,乌拉尔航空（Ural Airlines）,俄罗斯
U8,Armavia 亚美尼亚
U9,Tatarstan Airlines,俄罗斯
UA,联合航空（United Airlines） 美国
UB,缅甸航空（Myanmar Airways） 缅甸
UL,斯里兰卡航空（SriLankan Airlines）,斯里兰卡
UM,津巴布韦航空（Air Zimbabwe）,津巴布韦
UN,俄罗斯全禄航空 俄罗斯
UO,HK Express(旧称“香港快运航空”),香港
UQ,O'Connor Airlines 澳洲
US,全美航空（US Airways）,美国
UU,Air Austral 留尼汪岛
UX,Air Europa Lineas Aereas,西班牙
UY,喀麦隆航空（Cameroon Airlines）,喀麦隆
V7,塞内加尔航空（Air Senegal） 塞内加尔
V9,BAL 俄罗斯
VA,维珍澳洲航空（Virgin Australia）,澳洲
VD,Air Liberte 
VF,惠旅航空（Valuair） 新加坡
VH,Aeropostal,委内瑞拉
VI,Volga-Dnepr Airlines,俄罗斯
VN,越南航空（Vietnam Airlines）,越南
VR,佛得角航空（Cape Verde Airlines) (TACV） 佛得角
VS,维珍大西洋航空(Virgin Atlantic Airlines) 英国
VV,乌克兰空中世界航空（Aerosvit） 乌克兰
VY,国华航空（Formosa Airlines）,中华民国（已结业）
伏林航空（Vueling Airlines）,西班牙
VZ,MyTravel Airways,英国
W2,加拿大西部航空公司(Canadian Western Airlines),加拿大
W3,Flyhy Cargo Airlines,泰国
W5,马汉航空（Mahan Air） 伊朗
W6,Wizzair 匈牙利
W8,加拿大喷气机航空公司(Cargojet Airways Ltd.) 加拿大
W9,Sky Service Bvba,英国
Eastwind Airlines, Inc. 美国
WB,卢旺达航空（Rwand Air）,卢旺达
WD,DAS Air Cargo 
WF,Widerøe 挪威
WH,中国西北航空公司,中国
WebJet Linhas Aéreas,巴西
WK,American Falcon, S.A. 阿根廷
WN,西南航空（Southwest Airlines）,美国
WO,世界航空（World Airways, Inc）,美国
WS,WestJet 加拿大
WV,瑞典航空（Swe Fly） 瑞典
WW,bmibaby Limited 英国
WX,城市客机航空,爱尔兰
WY,阿曼航空（Oman Air）,阿曼
X0,新疆航空,中国（因加入中国南方航空而不再使用此代码）
X2,新华航空,中国（因加盟海南航空而不再使用此代码）
X3,Hapag-Lloyd Express 德国
X5,Afrique Airlines,
X7,赤塔航空（Chitaavia） 俄罗斯
XC,泛太平洋航空（Snp Airlines）,皇家泛太平洋
XF,海参崴航空（Vladivostok Air）,俄罗斯
XJ,美莎巴航空（Mesaba Airlines）,美国
XK,CCM Airlines,法国
XM,J-Air 日本
Australian Air Express,澳大利亚
XO,LTE国际航空(LTE International Airways),西班牙
XS,SITA,法国
XT,Air Exel,荷兰（已歇业）
XU,通里萨航空（TONLESAP AIRLINES）,柬埔寨
XY,国家航空服务公司National Air Services 沙特阿拉伯
Y8,扬子江快运航空有限公司(Yangtze River Airlines Company Limited) 中国
Y9,基什航空（Kish Airline）,伊朗
YK,Cyprus Turkish Airlines 土耳其
YL,亚马尔航空（Yamal Airlines） 俄罗斯
YM,黑山航空（Montenegro Airlines） 黑山
YS,欧洲区域航空公司(Régional Compagnie Aerienne Européenne),法国
YT,多哥航空（Air Togo）,多哥
YV,美莎航空（Mesa Airlines） 美国
YU,欧洲大西洋航空（Euroatlantic Airways） 葡萄牙
YW,Air Nostrum 西班牙
YX,中西航空（Midwest Airlines）,美国
Z2,飞龙航空（Zest Airways）, 菲律宾
Z2,中原航空公司（Zhongyuan Airlines）,中华人民共和国 中华人民共和国（因并入中国南方航空而不再使用此代码）
Z4,Zoom Airlines 加拿大
ZA,Astair,俄罗斯
ZE,Líneas Aéreas Azteca,墨西哥
ZG,非凡航空（Viva Macau）,中国澳门（已结业）
ZH,深圳航空公司（Shenzhen Airlines） 中国
ZI,Aigle Azur,法国
ZL,区域快线（Regional Express）,澳大利亚
ZN,Air Bourbon 
ZS,Azzurra Air 
Sama Airlines 沙特阿拉伯
ZU,太阳神航空（Helios Airways） 塞浦路斯
ZW,威斯康辛航空公司（Air Wisconsin） 美国
ZV,Air Midwest 美国
ZX,Air Georgian,加拿大
